,season,Player,Pos,Age,team,PTS,AST,BLK,TOV,STL,ORB,DRB,MP,G,GS,PF,FTA,FGA,3PA,3P,FG,FT,PER,WS,ppg,ast_pg,blk_pg,tov_pg,stl_pg,reb_pg,min_pg,FG%,FT%,3P%
16006,2002-2003,Tariq Abdul-Wahad,SG,28.0,DAL,57.0,21.0,3.0,7.0,6.0,14.0,26.0,204.0,14.0,0.0,26.0,6.0,58.0,1.0,0.0,27.0,3.0,12.4,0.4,4.071428571428571,1.5,0.21428571428571427,0.5,0.42857142857142855,2.857142857142857,14.571428571428571,0.46551724137931033,0.5,0.0
16364,2002-2003,Zach Randolph,PF,21.0,POR,650.0,41.0,14.0,62.0,42.0,139.0,204.0,1301.0,77.0,11.0,141.0,161.0,515.0,5.0,0.0,264.0,122.0,19.9,4.8,8.441558441558442,0.5324675324675324,0.18181818181818182,0.8051948051948052,0.5454545454545454,4.454545454545454,16.896103896103895,0.512621359223301,0.7577639751552795,0.0
16363,2002-2003,Igor Rakocevic,PG,24.0,MIN,78.0,33.0,0.0,23.0,4.0,4.0,13.0,244.0,42.0,0.0,25.0,36.0,58.0,12.0,5.0,22.0,29.0,8.4,0.1,1.8571428571428572,0.7857142857142857,0.0,0.5476190476190477,0.09523809523809523,0.40476190476190477,5.809523809523809,0.3793103448275862,0.8055555555555556,0.4166666666666667
16362,2002-2003,Vladimir Radmanovic,PF,22.0,SEA,724.0,97.0,22.0,100.0,64.0,76.0,247.0,1910.0,72.0,16.0,136.0,102.0,668.0,293.0,104.0,274.0,72.0,13.0,2.7,10.055555555555555,1.3472222222222223,0.3055555555555556,1.3888888888888888,0.8888888888888888,4.486111111111111,26.52777777777778,0.4101796407185629,0.7058823529411765,0.35494880546075086
16361,2002-2003,Joel Przybilla,C,23.0,MIL,48.0,12.0,45.0,19.0,10.0,48.0,97.0,546.0,32.0,17.0,85.0,24.0,46.0,0.0,0.0,18.0,12.0,7.9,0.6,1.5,0.375,1.40625,0.59375,0.3125,4.53125,17.0625,0.391304347826087,0.5,
16360,2002-2003,Tayshaun Prince,SF,22.0,DET,137.0,24.0,14.0,21.0,10.0,5.0,40.0,435.0,42.0,5.0,25.0,17.0,118.0,47.0,20.0,53.0,11.0,11.7,0.8,3.261904761904762,0.5714285714285714,0.3333333333333333,0.5,0.23809523809523808,1.0714285714285714,10.357142857142858,0.4491525423728814,0.6470588235294118,0.425531914893617
16359,2002-2003,Vitaly Potapenko,C,27.0,SEA,104.0,4.0,8.0,25.0,9.0,25.0,64.0,403.0,26.0,2.0,46.0,29.0,93.0,0.0,0.0,41.0,22.0,8.2,0.2,4.0,0.15384615384615385,0.3076923076923077,0.9615384615384616,0.34615384615384615,3.423076923076923,15.5,0.44086021505376344,0.7586206896551724,
16358,2002-2003,Lavor Postell,SG,24.0,NYK,43.0,3.0,0.0,7.0,2.0,1.0,3.0,98.0,12.0,0.0,9.0,15.0,38.0,7.0,2.0,14.0,13.0,7.8,-0.1,3.5833333333333335,0.25,0.0,0.5833333333333334,0.16666666666666666,0.3333333333333333,8.166666666666666,0.3684210526315789,0.8666666666666667,0.2857142857142857
16354,2002-2003,Scot Pollard,C,27.0,SAC,103.0,6.0,15.0,15.0,13.0,46.0,60.0,325.0,23.0,0.0,50.0,38.0,87.0,0.0,0.0,40.0,23.0,14.6,1.0,4.478260869565218,0.2608695652173913,0.6521739130434783,0.6521739130434783,0.5652173913043478,4.608695652173913,14.130434782608695,0.45977011494252873,0.6052631578947368,
16353,2002-2003,Scottie Pippen,SF,37.0,POR,689.0,285.0,25.0,164.0,105.0,57.0,221.0,1911.0,64.0,58.0,149.0,148.0,597.0,133.0,38.0,265.0,121.0,15.3,3.8,10.765625,4.453125,0.390625,2.5625,1.640625,4.34375,29.859375,0.4438860971524288,0.8175675675675675,0.2857142857142857
16352,2002-2003,Paul Pierce,SG,25.0,BOS,2048.0,349.0,62.0,288.0,139.0,106.0,472.0,3096.0,79.0,79.0,227.0,753.0,1592.0,391.0,118.0,663.0,604.0,22.7,10.1,25.924050632911392,4.417721518987341,0.7848101265822784,3.6455696202531644,1.759493670886076,7.3164556962025316,39.18987341772152,0.4164572864321608,0.8021248339973439,0.30179028132992325
16365,2002-2003,Theo Ratliff,C,29.0,ATL,706.0,73.0,262.0,137.0,56.0,154.0,453.0,2518.0,81.0,81.0,271.0,214.0,595.0,0.0,0.0,276.0,154.0,13.8,4.0,8.716049382716049,0.9012345679012346,3.234567901234568,1.691358024691358,0.691358024691358,7.493827160493828,31.08641975308642,0.4638655462184874,0.719626168224299,
16351,2002-2003,Eric Piatkowski,SG,32.0,LAC,601.0,70.0,9.0,56.0,33.0,44.0,112.0,1360.0,62.0,26.0,92.0,122.0,446.0,201.0,80.0,210.0,101.0,16.0,3.6,9.693548387096774,1.1290322580645162,0.14516129032258066,0.9032258064516129,0.532258064516129,2.5161290322580645,21.93548387096774,0.47085201793721976,0.8278688524590164,0.39800995024875624
16349,2002-2003,Wesley Person,SG,31.0,MEM,727.0,112.0,19.0,56.0,42.0,24.0,168.0,1941.0,66.0,44.0,64.0,97.0,601.0,231.0,100.0,274.0,79.0,13.5,3.3,11.015151515151516,1.696969696969697,0.2878787878787879,0.8484848484848485,0.6363636363636364,2.909090909090909,29.40909090909091,0.4559068219633943,0.8144329896907216,0.4329004329004329
16348,2002-2003,Anthony Peeler,SG,33.0,MIN,630.0,244.0,13.0,82.0,72.0,40.0,201.0,2245.0,82.0,39.0,161.0,50.0,609.0,212.0,87.0,252.0,39.0,11.0,3.4,7.682926829268292,2.975609756097561,0.15853658536585366,1.0,0.8780487804878049,2.9390243902439024,27.378048780487806,0.41379310344827586,0.78,0.41037735849056606
16344,2002-2003,Ruben Patterson,SF,27.0,POR,649.0,101.0,29.0,117.0,73.0,120.0,144.0,1655.0,78.0,17.0,161.0,220.0,516.0,20.0,3.0,254.0,138.0,14.5,3.2,8.320512820512821,1.294871794871795,0.3717948717948718,1.5,0.9358974358974359,3.3846153846153846,21.21794871794872,0.49224806201550386,0.6272727272727273,0.15
16343,2002-2003,Cherokee Parks,PF,30.0,LAC,188.0,21.0,20.0,18.0,16.0,46.0,86.0,648.0,30.0,18.0,52.0,38.0,163.0,2.0,1.0,82.0,23.0,13.3,1.2,6.266666666666667,0.7,0.6666666666666666,0.6,0.5333333333333333,4.4,21.6,0.5030674846625767,0.6052631578947368,0.5
