player_id,Player
1,AC Green
2,AJ Guyton
3,Aaron McKie
4,Aaron Williams
5,Adam Keefe
6,Ademola Okulaja
7,Adonal Foyle
8,Adrian Griffin
9,Al Harrington
10,Alan Henderson
11,Aleksandar Radojevic
12,Allan Houston
13,Allen Iverson
14,Alonzo Mourning
15,Alvin Williams
16,Andrae Patterson
17,Andre Miller
18,Andrew DeClercq
19,Anfernee Hardaway
20,Ansu Sesay
21,Antawn Jamison
22,Anthony Carter
23,Anthony Johnson
24,Anthony Mason
25,Anthony Miller
26,Anthony Peeler
27,Antoine Walker
28,Antonio Daniels
29,Antonio Davis
30,Antonio Harvey
31,Antonio McDyess
32,Arvydas Sabonis
33,Austin Croshere
34,Avery Johnson
35,Baron Davis
36,Ben Wallace
37,Bill Curley
38,Billy Owens
39,Bimbo Coles
40,Bo Outlaw
41,Bob Sura
42,Bobby Jackson
43,Bobby Phills
44,Bonzi Wells
45,Brad Miller
46,Brent Barry
47,Brent Price
48,Brevin Knight
49,Brian Cardinal
50,Brian Grant
51,Brian Shaw
52,Brian Skinner
53,Bruce Bowen
54,Bruno Sundov
55,Bryant Reeves
56,Bryant Stith
57,Bryce Drew
58,Bryon Russell
59,Cal Bowdler
60,Calbert Cheaney
61,Calvin Booth
62,Carlos Rogers
63,Cedric Ceballos
64,Cedric Henderson
65,Charles Oakley
66,Charlie Ward
67,Chauncey Billups
68,Cherokee Parks
69,Chris Carr
70,Chris Carrawell
71,Chris Childs
72,Chris Crawford
73,Chris Dudley
74,Chris Gatling
75,Chris Herren
76,Chris Mihm
77,Chris Mills
78,Chris Mullin
79,Chris Porter
80,Chris Webber
81,Chris Whitney
82,Christian Laettner
83,Chuck Person
84,Chucky Atkins
85,Clarence Weatherspoon
86,Clifford Robinson
87,Corey Benjamin
88,Corey Maggette
89,Corie Blount
90,Corliss Williamson
91,Cory Alexander
92,Courtney Alexander
93,Cuttino Mobley
94,Dale Davis
95,Dale Ellis
96,Dalibor Bagaric
97,Damon Jones
98,Damon Stoudamire
99,Dan Langhi
100,Dan Majerle
101,Dana Barros
102,Daniel Santiago
103,Danny Ferry
104,Danny Fortson
105,Danny Manning
106,Darius Miles
107,Darrell Armstrong
108,Darrick Martin
109,Darvin Ham
110,David Benoit
111,David Robinson
112,David Wesley
113,David Wingate
114,DeShawn Stevenson
115,Dean Garrett
116,Dee Brown
117,Dell Curry
118,Dennis Scott
119,DerMarr Johnson
120,Derek Anderson
121,Derek Fisher
122,Derek Strong
123,Derrick Coleman
124,Derrick Dial
125,Derrick McKey
126,Desmond Mason
127,Detlef Schrempf
128,Devean George
129,Dikembe Mutombo
130,Dion Glover
131,Dirk Nowitzki
132,Don MacLean
133,Don Reid
134,Donnell Harvey
135,Donyell Marshall
136,Doug Christie
137,Doug Overton
138,Doug West
139,Dragan Tarlac
140,Duane Causwell
141,Earl Boykins
142,Eddie House
143,Eddie Jones
144,Eddie Robinson
145,Eduardo Najera
146,Elden Campbell
147,Eldridge Recasner
148,Elliot Perry
149,Elton Brand
150,Emanual Davis
151,Eric Montross
152,Eric Murdock
153,Eric Piatkowski
154,Eric Snow
155,Eric Williams
156,Erick Barkley
157,Erick Dampier
158,Erick Strickland
159,Ervin Johnson
160,Etan Thomas
161,Etdrick Bohannon
162,Evan Eschmeyer
163,Felipe Lopez
164,Felton Spencer
165,Fred Hoiberg
166,Garth Joseph
167,Gary Grant
168,Gary Payton
169,Gary Trent
170,George Lynch
171,George McCloud
172,Gerard King
173,Glen Rice
