,team,salary,Player,position,season
0,Minnesota Timberwolves,25.2,Kevin Garnett, PF,2002-2003
1,Portland Trail Blazers,13.5,Damon Stoudamire, PG,2002-2003
2,Seattle SuperSonics,13.08,Gary Payton, PG,2002-2003
3,Seattle SuperSonics,12.375,Ray Allen, SG,2002-2003
4,New York Knicks,12.375,Latrell Sprewell, SG,2002-2003
5,Boston Celtics,12.375,Antoine Walker, PF,2002-2003
6,Phoenix Suns,12.375,Stephon Marbury, PG,2002-2003
7,San Antonio Spurs,12.072,Tim Duncan, C,2002-2003
8,Orlando Magic,12.072,Tracy McGrady, SG,2002-2003
9,Orlando Magic,12.072,Grant Hill, SF,2002-2003
10,Indiana Pacers,12.046,Reggie Miller, SG,2002-2003
11,Los Angeles Lakers,23.571,Shaquille O'Neal, C,2002-2003
12,Toronto Raptors,12.0,Antonio Davis, PF,2002-2003
13,Dallas Mavericks,11.953,Michael Finley, SG,2002-2003
14,Sacramento Kings,11.248,Vlade Divac, C,2002-2003
15,Miami Heat,11.2,Eddie Jones, SG,2002-2003
16,Miami Heat,11.121,Brian Grant, PF,2002-2003
17,New York Knicks,11.0,Allan Houston, SG,2002-2003
18,Phoenix Suns,10.89,Tom Gugliotta, PF,2002-2003
19,Milwaukee Bucks,10.75,Tim Thomas, PF,2002-2003
20,Toronto Raptors,10.625,Vince Carter, SF,2002-2003
21,San Antonio Spurs,10.5,David Robinson, C,2002-2003
22,Orlando Magic,21.5,Shawn Kemp, C,2002-2003
23,Dallas Mavericks,10.003,Nick Van Exel, PG,2002-2003
24,San Antonio Spurs,9.9,Steve Smith, SG,2002-2003
25,Atlanta Hawks,9.86,Glenn Robinson, SF,2002-2003
26,Philadelphia 76ers,9.83,Derrick Coleman, PF,2002-2003
27,Atlanta Hawks,9.375,Theo Ratliff, C,2002-2003
28,New Jersey Nets,9.26,Jason Kidd, PG,2002-2003
29,Houston Rockets,9.2,Glen Rice, SF,2002-2003
30,Seattle SuperSonics,9.185,Kenny Anderson, PG,2002-2003
31,Utah Jazz,9.0,John Stockton, G,2002-2003
32,New Jersey Nets,8.717,Kerry Kittles, SG,2002-2003
33,Denver Nuggets,20.625,Juwan Howard, PF,2002-2003
34,Detroit Pistons,8.421,Clifford Robinson, PF,2002-2003
35,Portland Trail Blazers,19.727,Scottie Pippen, SF,2002-2003
36,Utah Jazz,19.25,Karl Malone, PF,2002-2003
37,Portland Trail Blazers,16.2,Rasheed Wallace, PF,2002-2003
38,New Jersey Nets,16.105,Dikembe Mutombo, C,2002-2003
39,Sacramento Kings,14.343,Chris Webber, C,2002-2003
40,Milwaukee Bucks,8.05,Toni Kukoc, SF,2002-2003
41,Portland Trail Blazers,8.0,Dale Davis, PF,2002-2003
42,Seattle SuperSonics,7.975,Elden Campbell, C,2002-2003
43,Utah Jazz,7.799,Greg Ostertag, C,2002-2003
44,New Orleans Hornets,7.75,Jamal Mashburn, SF,2002-2003
45,Houston Rockets,7.15,Maurice Taylor, PF,2002-2003
46,Portland Trail Blazers,7.145,Derek Anderson, SG,2002-2003
47,Chicago Bulls,7.14,Donyell Marshall, PF,2002-2003
48,Atlanta Hawks,7.091,Alan Henderson, PF,2002-2003
49,New Orleans Hornets,7.044,P.J. Brown, PF,2002-2003
50,Memphis Grizzlies,7.0,Wesley Person, SF,2002-2003
51,Indiana Pacers,6.96,Austin Croshere, PF,2002-2003
52,Indiana Pacers,6.95,Jermaine O'Neal, C,2002-2003
53,Golden State Warriors,6.858,Erick Dampier, C,2002-2003
54,Denver Nuggets,6.75,Marcus Camby, C,2002-2003
55,Houston Rockets,6.696,Kelvin Cato, C,2002-2003
56,Indiana Pacers,6.618,Ron Mercer, SG,2002-2003
57,Philadelphia 76ers,6.6,Tyrone Hill, PF,2002-2003
58,Phoenix Suns,6.555,Bo Outlaw, PF,2002-2003
59,New York Knicks,6.1,Shandon Anderson, SF,2002-2003
60,LA Clippers,6.061,Michael Olowokandi, C,2002-2003
61,Memphis Grizzlies,6.05,Lorenzen Wright, PF,2002-2003
62,Washington Wizards,6.0,Jerry Stackhouse, SF,2002-2003
63,Golden State Warriors,6.0,Chris Mills, SF,2002-2003
64,Dallas Mavericks,5.75,Steve Nash, PG,2002-2003
65,New York Knicks,5.75,Charlie Ward, PG,2002-2003
66,Chicago Bulls,5.726,Eddie Robinson, SF,2002-2003
67,Sacramento Kings,5.625,Doug Christie, SG,2002-2003
68,Sacramento Kings,5.625,Peja Stojakovic, SF,2002-2003
69,Golden State Warriors,5.54,Bob Sura, PG,2002-2003
