,season,Player,Pos,Age,team,PTS,AST,BLK,TOV,STL,ORB,DRB,MP,G,GS,PF,FTA,FGA,3PA,3P,FG,FT,PER,WS,ppg,ast_pg,blk_pg,tov_pg,stl_pg,reb_pg,min_pg,FG%,FT%,3P%,salary
0,2002-2003,Zach Randolph,PF,21.0,POR,650.0,41.0,14.0,62.0,42.0,139.0,204.0,1301.0,77.0,11.0,141.0,161.0,515.0,5.0,0.0,264.0,122.0,19.9,4.8,8.441558441558442,0.5324675324675324,0.18181818181818182,0.8051948051948052,0.5454545454545454,4.454545454545454,16.896103896103895,0.512621359223301,0.7577639751552795,0.0,1.096
1,2002-2003,Vladimir Radmanovic,PF,22.0,SEA,724.0,97.0,22.0,100.0,64.0,76.0,247.0,1910.0,72.0,16.0,136.0,102.0,668.0,293.0,104.0,274.0,72.0,13.0,2.7,10.055555555555555,1.3472222222222223,0.3055555555555556,1.3888888888888888,0.8888888888888888,4.486111111111111,26.52777777777778,0.4101796407185629,0.7058823529411765,0.35494880546075086,1.561
2,2002-2003,Joel Przybilla,C,23.0,MIL,48.0,12.0,45.0,19.0,10.0,48.0,97.0,546.0,32.0,17.0,85.0,24.0,46.0,0.0,0.0,18.0,12.0,7.9,0.6,1.5,0.375,1.40625,0.59375,0.3125,4.53125,17.0625,0.391304347826087,0.5,,1.862
3,2002-2003,Vitaly Potapenko,C,27.0,SEA,104.0,4.0,8.0,25.0,9.0,25.0,64.0,403.0,26.0,2.0,46.0,29.0,93.0,0.0,0.0,41.0,22.0,8.2,0.2,4.0,0.15384615384615385,0.3076923076923077,0.9615384615384616,0.34615384615384615,3.423076923076923,15.5,0.44086021505376344,0.7586206896551724,,5.238
4,2002-2003,Scot Pollard,C,27.0,SAC,103.0,6.0,15.0,15.0,13.0,46.0,60.0,325.0,23.0,0.0,50.0,38.0,87.0,0.0,0.0,40.0,23.0,14.6,1.0,4.478260869565218,0.2608695652173913,0.6521739130434783,0.6521739130434783,0.5652173913043478,4.608695652173913,14.130434782608695,0.45977011494252873,0.6052631578947368,,4.827
5,2002-2003,Scottie Pippen,SF,37.0,POR,689.0,285.0,25.0,164.0,105.0,57.0,221.0,1911.0,64.0,58.0,149.0,148.0,597.0,133.0,38.0,265.0,121.0,15.3,3.8,10.765625,4.453125,0.390625,2.5625,1.640625,4.34375,29.859375,0.4438860971524288,0.8175675675675675,0.2857142857142857,19.727
6,2002-2003,Paul Pierce,SG,25.0,BOS,2048.0,349.0,62.0,288.0,139.0,106.0,472.0,3096.0,79.0,79.0,227.0,753.0,1592.0,391.0,118.0,663.0,604.0,22.7,10.1,25.924050632911392,4.417721518987341,0.7848101265822784,3.6455696202531644,1.759493670886076,7.3164556962025316,39.18987341772152,0.4164572864321608,0.8021248339973439,0.30179028132992325,2.793
7,2002-2003,Theo Ratliff,C,29.0,ATL,706.0,73.0,262.0,137.0,56.0,154.0,453.0,2518.0,81.0,81.0,271.0,214.0,595.0,0.0,0.0,276.0,154.0,13.8,4.0,8.716049382716049,0.9012345679012346,3.234567901234568,1.691358024691358,0.691358024691358,7.493827160493828,31.08641975308642,0.4638655462184874,0.719626168224299,,9.375
8,2002-2003,Wesley Person,SG,31.0,MEM,727.0,112.0,19.0,56.0,42.0,24.0,168.0,1941.0,66.0,44.0,64.0,97.0,601.0,231.0,100.0,274.0,79.0,13.5,3.3,11.015151515151516,1.696969696969697,0.2878787878787879,0.8484848484848485,0.6363636363636364,2.909090909090909,29.40909090909091,0.4559068219633943,0.8144329896907216,0.4329004329004329,7.0
9,2002-2003,Anthony Peeler,SG,33.0,MIN,630.0,244.0,13.0,82.0,72.0,40.0,201.0,2245.0,82.0,39.0,161.0,50.0,609.0,212.0,87.0,252.0,39.0,11.0,3.4,7.682926829268292,2.975609756097561,0.15853658536585366,1.0,0.8780487804878049,2.9390243902439024,27.378048780487806,0.41379310344827586,0.78,0.41037735849056606,3.22
10,2002-2003,Ruben Patterson,SF,27.0,POR,649.0,101.0,29.0,117.0,73.0,120.0,144.0,1655.0,78.0,17.0,161.0,220.0,516.0,20.0,3.0,254.0,138.0,14.5,3.2,8.320512820512821,1.294871794871795,0.3717948717948718,1.5,0.9358974358974359,3.3846153846153846,21.21794871794872,0.49224806201550386,0.6272727272727273,0.15,4.992
11,2002-2003,Cherokee Parks,PF,30.0,LAC,188.0,21.0,20.0,18.0,16.0,46.0,86.0,648.0,30.0,18.0,52.0,38.0,163.0,2.0,1.0,82.0,23.0,13.3,1.2,6.266666666666667,0.7,0.6666666666666666,0.6,0.5333333333333333,4.4,21.6,0.5030674846625767,0.6052631578947368,0.5,0.824
12,2002-2003,Tony Parker,PG,20.0,SAS,1269.0,432.0,4.0,198.0,71.0,33.0,183.0,2774.0,82.0,82.0,174.0,290.0,1043.0,243.0,82.0,484.0,219.0,16.5,7.7,15.475609756097562,5.2682926829268295,0.04878048780487805,2.4146341463414633,0.8658536585365854,2.6341463414634148,33.829268292682926,0.46404602109300097,0.7551724137931034,0.3374485596707819,0.8
13,2002-2003,Milt Palacio,PG,24.0,CLE,397.0,259.0,16.0,131.0,68.0,48.0,187.0,1976.0,80.0,46.0,168.0,87.0,388.0,37.0,8.0,162.0,65.0,8.2,0.2,4.9625,3.2375,0.2,1.6375,0.85,2.9375,24.7,0.4175257731958763,0.7471264367816092,0.21621621621621623,0.749
14,2002-2003,Scott Padgett,PF,26.0,UTA,466.0,86.0,24.0,70.0,41.0,83.0,189.0,1321.0,82.0,2.0,148.0,107.0,423.0,133.0,45.0,170.0,81.0,12.4,2.5,5.682926829268292,1.048780487804878,0.2926829268292683,0.8536585365853658,0.5,3.317073170731707,16.109756097560975,0.40189125295508277,0.7570093457943925,0.3383458646616541,1.41
15,2002-2003,Morris Peterson,SF,25.0,TOR,1153.0,188.0,32.0,128.0,88.0,97.0,266.0,2949.0,82.0,80.0,232.0,247.0,1073.0,344.0,116.0,421.0,195.0,12.6,3.2,14.060975609756097,2.292682926829268,0.3902439024390244,1.5609756097560976,1.0731707317073171,4.426829268292683,35.96341463414634,0.3923578751164958,0.7894736842105263,0.3372093023255814,1.033
16,2002-2003,Zeljko Rebraca,C,30.0,DET,198.0,9.0,17.0,29.0,6.0,27.0,65.0,488.0,30.0,12.0,79.0,48.0,145.0,0.0,0.0,80.0,38.0,14.0,1.3,6.6,0.3,0.5666666666666667,0.9666666666666667,0.2,3.066666666666667,16.266666666666666,0.5517241379310345,0.7916666666666666,,3.85
17,2002-2003,Don Reid,PF,29.0,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,1.0,-17.3,-0.1,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5,,1.1
