Player,income,adj_income,season
Aaron Brooks,1045560,1457897,2009
Aaron Gray,711517,992117,2009
Acie Law,2071680,2888687,2009
Adam Morrison,4159200,5799462,2009
Adonal Foyle,8062275,11241790,2009
Adrian Griffin,1711000,2385766,2009
Al Harrington,9226250,12864803,2009
Al Horford,4026720,5614736,2009
Al Jefferson,11000000,15338066,2009
Al Thornton,1776240,2476735,2009
Alando Tucker,1001880,1396991,2009
Aleksandar Pavlovic,4500000,6274663,2009
Alex Acker,711517,992117,2009
Alexis Ajinca,1276320,1779661,2009
Allen Iverson,20840625,29059535,2009
Amare Stoudemire,15070550,21013917,2009
Amir Johnson,3666667,5112689,2009
Anderson Varejao,5784480,8065703,2009
Andray Blatche,2739669,3820111,2009
Andre Brown,107908,150463,2009
Andre Iguodala,11300000,15756377,2009
Andre Miller,10333334,14408487,2009
Andrea Bargnani,5176440,7217870,2009
Andrei Kirilenko,15106000,21063348,2009
Andres Nocioni,8000000,11154957,2009
Andrew Bogut,6294310,8776594,2009
Andrew Bynum,2769300,3861427,2009
Andris Biedrins,9000000,12549327,2009
Antawn Jamison,9923285,13836727,2009
Anthony Carter,1147533,1600085,2009
Anthony Johnson,1910000,2663246,2009
Anthony Morrow,442114,616470,2009
Anthony Parker,4550000,6344382,2009
Anthony Randolph,1709280,2383368,2009
Anthony Roberson,797581,1112122,2009
Anthony Tolliver,213255,297355,2009
Antoine Walker,8854475,12346411,2009
Antoine Wright,1800000,2509865,2009
Antonio Daniels,6200000,8645091,2009
Antonio McDyess,3950419,5508344,2009
Arron Afflalo,1015440,1415898,2009
Austin Croshere,601436,838623,2009
Baron Davis,11250000,15686658,2009
Ben Gordon,6404750,8930589,2009
Ben Wallace,14500000,20218360,2009
Beno Udrih,5585000,7787554,2009
Blake Ahearn,125562,175079,2009
Bobby Brown,442114,616470,2009
Bobby Jackson,6487888,9046514,2009
Bobby Simmons,10602667,14784037,2009
Boris Diaw,9000000,12549327,2009
Brad Miller,11375000,15860955,2009
Brandan Wright,2497320,3482187,2009
Brandon Bass,826269,1152124,2009
Brandon Roy,3084240,4300570,2009
Brandon Rush,1799160,2508694,2009
Brendan Haywood,5500000,7669033,2009
Brent Barry,1910000,2663246,2009
Brevin Knight,2000000,2788739,2009
Brian Cardinal,6300000,8784528,2009
Brian Cook,3500000,4880293,2009
Brian Scalabrine,3206897,4471599,2009
Brian Skinner,1262275,1760077,2009
Brook Lopez,2098560,2926168,2009
Bruce Bowen,4000000,5577478,2009
CJ Miles,3700000,5159167,2009
CJ Watson,711517,992117,2009
Calvin Booth,1319651,1840081,2009
Carl Landry,3000000,4183109,2009
Carlos Boozer,11593817,16166066,2009
Carmelo Anthony,14410581,20093677,2009
Caron Butler,9249980,12897891,2009
Cartier Martin,200252,279225,2009
Cedric Simmons,1742760,2430051,2009
Channing Frye,3163769,4411463,2009
Charlie Bell,3354480,4677385,2009
Charlie Villanueva,3448050,4807856,2009
Chauncey Billups,11050000,15407784,2009
Cheikh Samb,797581,1112122,2009
Chris Andersen,998398,1392135,2009
Chris Bosh,14410581,20093677,2009
Chris Douglas-Roberts,442411,616884,2009
Chris Duhon,5585000,7787554,2009
Chris Kaman,9500000,13246511,2009
Chris Mihm,2500000,3485924,2009
Chris Paul,4574189,6378110,2009
Chris Quinn,972581,1356137,2009
Chris Wilcox,6750000,9411995,2009
Chuck Hayes,1768000,2465245,2009
Chucky Atkins,3240000,4517757,2009
Corey Brewer,2725920,3800940,2009
Corey Maggette,8275862,11539610,2009
Courtney Lee,1176240,1640113,2009
Courtney Sims,184648,257467,2009
Craig Smith,2500000,3485924,2009
Cuttino Mobley,9100000,12688764,2009
DJ Augustin,2208960,3080106,2009
DJ White,964080,1344283,2009
Daequan Cook,1273200,1775311,2009
Dahntay Jones,926678,1292131,2009
Damien Wilkins,3100000,4322545,2009
Damon Jones,4460186,6219148,2009
Damon Stoudamire,2325000,3241909,2009
Dan Gadzuric,6250195,8715082,2009
Daniel Gibson,3700000,5159167,2009
Danilo Gallinari,2873520,4006749,2009
Danny Granger,2329805,3248609,2009
Darius Miles,9704752,13532011,2009
Darius Songaila,4235000,5905155,2009
Darko Milicic,7020000,9788475,2009
Darnell Jackson,450000,627466,2009
Darrell Arthur,977160,1362522,2009
David Lee,1788033,2493178,2009
David West,9862500,13751970,2009
DeAndre Jordan,550000,766903,2009
DeMarcus Nelson,182047,253840,2009
DeSagana Diop,5585000,7787554,2009
DeShawn Stevenson,3616072,5042141,2009
Dee Brown,238567,332649,2009
Delonte West,3850000,5368323,2009
Demetris Nichols,87893,122555,2009
Derek Fisher,4700000,6553537,2009
Deron Williams,5069449,7068685,2009
Derrick Rose,4822800,6724766,2009
Desmon Farmer,83708,116719,2009
Desmond Mason,5300000,7390159,2009
Devean George,1600000,2230991,2009
Devin Brown,998398,1392135,2009
Devin Harris,7800000,10876083,2009
Didier Ilunga-Mbenga,2852599,3977576,2009
Dikembe Mutombo,794491,1107814,2009
Dirk Nowitzki,18077904,25207281,2009
Dominic McGuire,711517,992117,2009
Donte Greene,971160,1354156,2009
Donyell Marshall,7213169,10057823,2009
Dorell Wright,2612835,3643257,2009
Drew Gooden,7151183,9971392,2009
Dwayne Jones,46812,65273,2009
Dwight Howard,13758000,19183737,2009
Dwyane Wade,14410581,20093677,2009
Earl Watson,6200000,8645091,2009
Eddie Gill,387613,540475,2009
Eddie House,2650000,3695079,2009
Eddie Jones,2000000,2788739,2009
Eddy Curry,9723983,13558826,2009
Eduardo Najera,3250000,4531701,2009
Elton Brand,13757844,19183520,2009
Emeka Okafor,9537500,13298800,2009
Eric Gordon,2623200,3657710,2009
Eric Snow,7312500,10196328,2009
Erick Dampier,11553000,16109152,2009
Etan Thomas,6864200,9571232,2009
Fabricio Oberto,3600000,5019730,2009
Francisco Elson,1700000,2370428,2009
Francisco Garcia,1983454,2765668,2009
Fred Jones,622531,868038,2009
Gabe Pruitt,711517,992117,2009
George Hill,1006200,1403014,2009
Gerald Green,854957,1192126,2009
Gerald Wallace,9500000,13246511,2009
Gilbert Arenas,14653466,20432348,2009
Glen Davis,711517,992117,2009
Goran Dragic,1700000,2370428,2009
Grant Hill,1976400,2755832,2009
Greg Buckner,4010005,5591429,2009
Greg Oden,5011680,6988134,2009
Hakim Warrick,2119102,2954811,2009
Hamed Haddadi,1572221,2192257,2009
Hassan Adams,297163,414355,2009
Henry Walker,542114,755907,2009
Hidayet Turkoglu,6864200,9571232,2009
Hilton Armstrong,2032800,2834474,2009
Ian Mahinmi,1009200,1407197,2009
Ike Diogu,2912823,4061552,2009
Ime Udoka,1080000,1505919,2009
JJ Hickson,1329480,1853786,2009
JJ Redick,2139720,2983560,2009
JR Giddens,957120,1334579,2009
JR Smith,4985001,6950934,2009
JaVale McGee,1392240,1941297,2009
Jackie Butler,2552000,3558431,2009
Jacque Vaughn,1262275,1760077,2009
Jake Voskuhl,826153,1151962,2009
Jamaal Magloire,1141838,1592144,2009
Jamaal Tinsley,6750000,9411995,2009
Jamal Crawford,8640000,12047353,2009
Jamario Moon,711517,992117,2009
Jameer Nelson,7700000,10736646,2009
James Jones,4010000,5591422,2009
James Posey,5585000,7787554,2009
James Singleton,826269,1152124,2009
Jared Dudley,1222320,1704365,2009
Jared Jeffries,6049400,8435099,2009
Jarrett Jack,2002623,2792396,2009
Jarron Collins,2074302,2892343,2009
Jarvis Hayes,1910000,2663246,2009
Jason Collins,6200000,8645091,2009
Jason Hart,2484000,3463614,2009
Jason Kapono,5784480,8065703,2009
Jason Kidd,21372000,29800468,2009
Jason Maxiell,1877572,2618029,2009
Jason Richardson,12664335,17658764,2009
Jason Smith,1326360,1849436,2009
Jason Terry,9196000,12822623,2009
Jason Thompson,1893840,2640713,2009
Jason Williams,1262275,1760077,2009
Javaris Crittenton,1381560,1926405,2009
Jawad Williams,244463,340871,2009
Jeff Foster,5500000,7669033,2009
Jeff Green,3287640,4584185,2009
Jeremy Richardson,769431,1072871,2009
Jermaine O'Neal,21372000,29800468,2009
Jermareo Davidson,422725,589434,2009
Jerome James,6200000,8645091,2009
Jerry Stackhouse,7000000,9760587,2009
Jerryd Bayless,1993560,2779759,2009
Joakim Noah,2295480,3200747,2009
Joe Alexander,2403120,3350837,2009
Joe Johnson,14232567,19845459,2009
Joe Smith,4795000,6686002,2009
Joel Anthony,711517,992117,2009
Joel Przybilla,6310150,8798681,2009
Joey Dorsey,816500,1138502,2009
Joey Graham,2449184,3415067,2009
Johan Petro,1939893,2704927,2009
John Salmons,5104000,7116862,2009
Jordan Farmar,1080000,1505919,2009
Jorge Garbajosa,4350000,6065508,2009
Jose Calderon,7438018,10371346,2009
Jose Juan Barea,1500000,2091554,2009
Josh Boone,1212120,1690143,2009
Josh Howard,9945000,13867006,2009
Josh McRoberts,711517,992117,2009
Josh Powell,854957,1192126,2009
Josh Smith,10000000,13943696,2009
Juan Dixon,998398,1392135,2009
Juaquin Hawkins,797581,1112122,2009
Julian Wright,1869600,2606913,2009
Justin Reed,1573000,2193343,2009
Juwan Howard,8355619,11650820,2009
Kareem Rush,926678,1292131,2009
Keith Bogans,2565000,3576558,2009
Keith McLeod,926678,1292131,2009
Kelenna Azubuike,2900000,4043672,2009
Kendrick Perkins,4578880,6384651,2009
Kenny Thomas,8562500,11939290,2009
Kenyon Martin,14431816,20123286,2009
Kevin Durant,4484040,6252409,2009
Kevin Garnett,24751934,34513346,2009
Kevin Love,3163680,4411339,2009
Kevin Martin,8760335,12215145,2009
Kevin Ollie,1262275,1760077,2009
Keyon Dooling,3300000,4601419,2009
Kirk Hinrich,10000000,13943696,2009
Kobe Bryant,21262500,29647785,2009
Kosta Koufos,1129320,1574689,2009
Kris Humphries,3200000,4461982,2009
Kurt Thomas,4200000,5856352,2009
Kwame Brown,4000000,5577478,2009
Kyle Korver,4956818,6911636,2009
Kyle Lowry,1163520,1622377,2009
Kyle Weaver,806452,1124492,2009
Kyrylo Fesenko,810000,1129439,2009
LaMarcus Aldridge,4631400,6457883,2009
Lamar Odom,14148596,19728373,2009
Larry Hughes,12827676,17886522,2009
LeBron James,14410581,20093677,2009
Leandro Barbosa,6100000,8505655,2009
Leon Powe,797581,1112122,2009
Linas Kleiza,1824493,2544017,2009
Lindsey Hunter,1143473,1594424,2009
Linton Johnson,125374,174817,2009
Lorenzen Wright,1262275,1760077,2009
Louis Williams,4500000,6274663,2009
Luc Mbah a Moute,757000,1055537,2009
Luis Scola,3100667,4323476,2009
Luke Ridnour,6500000,9063402,2009
Luke Walton,4420000,6163113,2009
Luol Deng,9385000,13086159,2009
Luther Head,1962378,2736280,2009
Maceo Baston,2272860,3169207,2009
Malik Allen,1300000,1812680,2009
Malik Hairston,351091,489550,2009
Malik Rose,7647500,10663442,2009
Manu Ginobili,9905248,13811577,2009
Marc Gasol,3093333,4313249,2009
Marcin Gortat,711517,992117,2009
Marco Belinelli,1446720,2017262,2009
Marcus Banks,4260000,5940014,2009
Marcus Camby,10000000,13943696,2009
Marcus Williams,1262520,1760419,2009
Mardy Collins,1034760,1442837,2009
Mario Chalmers,700000,976058,2009
Mario West,711517,992117,2009
Mark Blount,8513916,11871546,2009
Mark Madsen,2630000,3667192,2009
Marko Jaric,6575000,9167980,2009
Marquis Daniels,6864200,9571232,2009
Marreese Speights,1542600,2150954,2009
Martell Webster,3771133,5258353,2009
Marvin Williams,5636143,7858866,2009
Matt Barnes,926678,1292131,2009
Matt Bonner,2987000,4164982,2009
Matt Carroll,5050000,7041566,2009
Matt Harpring,6000000,8366218,2009
Maurice Ager,1042440,1453546,2009
Maurice Evans,2500000,3485924,2009
Maurice Williams,8353000,11647169,2009
Mehmet Okur,8500000,11852142,2009
Melvin Ely,998398,1392135,2009
Metta World Peace,7400000,10318335,2009
Michael Beasley,4314960,6016649,2009
Michael Finley,2500000,3485924,2009
Michael Redd,15780000,22003153,2009
Michael Ruffin,1141838,1592144,2009
Mickael Pietrus,5300000,7390159,2009
Mike Bibby,14983603,20892681,2009
Mike Conley,3630480,5062231,2009
Mike Dunleavy,9000000,12549327,2009
Mike James,6244093,8706573,2009
Mike Miller,9028575,12589171,2009
Mike Taylor,500000,697184,2009
Mike Wilks,998398,1392135,2009
Mikki Moore,5632200,7853368,2009
Monta Ellis,11000000,15338066,2009
Morris Almond,1081440,1507927,2009
Morris Peterson,5592240,7797649,2009
Nate Robinson,2020179,2816876,2009
Nathan Jawai,442114,616470,2009
Nazr Mohammed,6049400,8435099,2009
Nenad Krstic,4778548,6663062,2009
Nenê,9680000,13497498,2009
Nick Collison,6350000,8854247,2009
Nick Young,1602960,2235118,2009
Nicolas Batum,1040640,1451036,2009
OJ Mayo,3875040,5403238,2009
Oleksiy Pecherov,1446720,2017262,2009
Othello Hunter,442114,616470,2009
Patrick O'Bryant,1500000,2091554,2009
Pau Gasol,15106000,21063348,2009
Paul Davis,328416,457933,2009
Paul Millsap,797581,1112122,2009
Paul Pierce,18077903,25207279,2009
Predrag Stojakovic,12528000,17468663,2009
Quentin Richardson,8685500,12110797,2009
Quincy Douby,1427040,1989821,2009
Quinton Ross,854957,1192126,2009
Radoslav Nesterovic,8400000,11712705,2009
Raef LaFrentz,12722500,17739868,2009
Rafer Alston,4900000,6832411,2009
Raja Bell,5000000,6971848,2009
Rajon Rondo,1315080,1833707,2009
Ramon Sessions,722517,1007455,2009
Randolph Morris,797581,1112122,2009
Randy Foye,2815560,3925931,2009
Rashad McCants,2620126,3653424,2009
Rashard Lewis,16447871,22934412,2009
Rasheed Wallace,13930000,19423569,2009
Rasual Butler,3630000,5061561,2009
Ray Allen,18388430,25640269,2009
Raymond Felton,4148716,5784843,2009
Reggie Evans,4640000,6469875,2009
Renaldo Balkman,1369920,1910174,2009
Richard Hamilton,10812500,15076622,2009
Richard Hendrix,57215,79778,2009
Richard Jefferson,13200000,18405679,2009
Ricky Davis,2300000,3207050,2009
Rob Kurz,429111,598339,2009
Robert Swift,3579131,4990631,2009
Robin Lopez,1623720,2264065,2009
Rodney Carney,1655760,2308741,2009
Rodney Stuckey,1687320,2352747,2009
Roger Mason,3500000,4880293,2009
Roko Ukic,1250000,1742962,2009
Ronald Murray,1500000,2091554,2009
Ronnie Brewer,1834680,2558222,2009
Ronnie Price,1188000,1656511,2009
Ronny Turiaf,4500000,6274663,2009
Roy Hibbert,1465400,2043309,2009
Royal Ivey,854957,1192126,2009
Rudy Fernandez,1084080,1511608,2009
Rudy Gay,2579400,3596637,2009
Russell Westbrook,3493680,4871481,2009
Ryan Anderson,1225200,1708381,2009
Ryan Bowen,1141838,1592144,2009
Ryan Gomes,3650000,5089449,2009
Ryan Hollins,972581,1356137,2009
Saer Sene,2252400,3140678,2009
Sam Cassell,1262275,1760077,2009
Samuel Dalembert,11238564,15670712,2009
Sasha Vujacic,4524887,6309365,2009
Sean Marks,1141838,1592144,2009
Sean May,2661027,3710455,2009
Sean Singletary,442114,616470,2009
Sean Williams,1522920,2123513,2009
Sebastian Telfair,2300000,3207050,2009
Sergio Rodriguez,1048800,1462414,2009
Shane Battier,6448900,8992150,2009
Shannon Brown,797581,1112122,2009
Shaquille O'Neal,21000000,29281763,2009
Shaun Livingston,370000,515916,2009
Shavlik Randolph,826269,1152124,2009
Shawn Marion,17810000,24833723,2009
Shawne Williams,1572960,2193287,2009
Shelden Williams,3395760,4734944,2009
Smush Parker,1660000,2314653,2009
Solomon Jones,797581,1112122,2009
Sonny Weems,442114,616470,2009
Speedy Claxton,5757818,8028526,2009
Spencer Hawes,2180760,3040785,2009
Stephen Graham,826269,1152124,2009
Stephen Jackson,7140000,9955799,2009
Stephon Marbury,20840625,29059535,2009
Steve Blake,4250000,5926071,2009
Steve Francis,19816550,27631595,2009
Steve Nash,12250000,17081028,2009
Steve Novak,797581,1112122,2009
Steven Hill,148238,206698,2009
Steven Hunter,3862600,5385892,2009
Stromile Swift,6200000,8645091,2009
Sun Yue,442114,616470,2009
TJ Ford,8000000,11154957,2009
Tarence Kinsey,797581,1112122,2009
Tayshaun Prince,9500000,13246511,2009
Thabo Sefolosha,1931160,2692750,2009
Thaddeus Young,1968120,2744286,2009
Theo Ratliff,1262275,1760077,2009
Thomas Gardner,711517,992117,2009
Tim Duncan,20598704,28722208,2009
Tim Thomas,6049400,8435099,2009
Tony Allen,2500000,3485924,2009
Tony Battie,5746000,8012048,2009
Tony Parker,11550000,16104969,2009
Tracy McGrady,20370437,28403919,2009
Travis Diener,1620000,2258878,2009
Travis Outlaw,4000000,5577478,2009
Trenton Hassell,4350000,6065508,2009
Trevor Ariza,3100000,4322545,2009
Trey Johnson,187258,261106,2009
Troy Murphy,10126984,14120759,2009
Tyronn Lue,2250000,3137331,2009
Tyrus Thomas,3749880,5228718,2009
Tyson Chandler,11350000,15826095,2009
Udonis Haslem,6575000,9167980,2009
Vince Carter,14724125,20530873,2009
Vladimir Radmanovic,6049400,8435099,2009
Von Wafer,826269,1152124,2009
Wally Szczerbiak,13775000,19207442,2009
